MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25,
333,2.01001E+11,서대문구,0.05,0.003,0.7,0.009,34,224
334,2.01001E+11,서대문구,0.047,0.003,0.6,0.008,39,112
335,2.01001E+11,서대문구,0.047,0.003,0.7,0.008,38,56
336,2.01001E+11,서대문구,0.045,0.003,0.7,0.008,26,28
337,2.01001E+11,"서초구,0.029",0.006,0.4,0.005,32,23,NA
338,2.01001E+11,"서초구,0.02",0.013,0.4,0.006,29,18,NA
339,2.01001E+11,"서초구,0.021",0.012,0.4,0.006,26,18,NA
340,2.01001E+11,"서초구,0.03",0.005,0.4,0.006,29,18,NA
341,2.01001E+11,"서초구,0.034",0.002,0.6,0.006,32,17,NA
342,2.01001E+11,"서초구,0.031",0.003,0.5,0.006,34,19,NA
343,2.01001E+11,"서초구,0.031",0.003,0.5,0.006,30,21,NA
344,2.01001E+11,"서초구,0.034",0.002,0.6,0.006,32,16,NA
345,2.01001E+11,"서초구,0.036",0.002,0.6,0.006,29,18,NA
346,2.01001E+11,"서초구,0.036",0.003,0.6,0.007,31,18,NA
347,2.01001E+11,"서초구,0.031",0.007,0.6,0.006,30,18,NA
348,2.01001E+11,"서초구,0.03",0.008,0.6,0.006,27,16,NA
349,2.01001E+11,"서초구,0.03",0.009,0.6,0.006,34,22,NA
350,2.01001E+11,"서초구,0.03",0.01,0.6,0.006,34,17,NA
351,2.01001E+11,"서초구,0.029",0.011,0.5,0.006,26,17,NA
352,2.01001E+11,"서초구,0.03",0.01,0.5,0.006,31,16,NA
353,2.01001E+11,"서초구,0.036",0.007,0.6,0.006,33,20,NA
354,2.01001E+11,"서초구,0.04",0.004,0.6,0.006,35,22,NA
355,2.01001E+11,"서초구,0.042",0.002,0.8,0.006,33,16,NA
356,2.01001E+11,"서초구,0.044",0.001,0.7,0.006,33,18,NA
357,2.01001E+11,"서초구,0.045",0.001,0.7,0.006,33,20,NA
358,2.01001E+11,"서초구,0.035",0.003,0.6,0.006,40,16,NA
359,2.01001E+11,"서초구,0.033",0.003,0.5,0.005,40,29,NA
360,2.01001E+11,"서초구,0.036",0.002,0.5,0.006,39,31,NA
361,2.01001E+11,"성동구,0.019",0.015,0.4,0.005,28,17,NA
362,2.01001E+11,"성동구,0.018",0.016,0.5,0.005,26,14,NA
363,2.01001E+11,"성동구,0.02",0.013,0.5,0.005,27,14,NA
364,2.01001E+11,"성동구,0.024",0.009,0.6,0.005,28,17,NA
365,2.01001E+11,"성동구,0.024",0.009,0.6,0.005,34,21,NA
366,2.01001E+11,"성동구,0.023",0.009,0.5,0.004,25,17,NA
367,2.01001E+11,"성동구,0.026",0.006,0.6,0.005,30,27,NA
368,2.01001E+11,"성동구,0.03",0.004,0.6,0.005,31,18,NA
